applicant_name,age,gender,marital_status,education,employment_status,annual_income,monthly_income,coapplicant_income,loan_amount,loan_term,credit_score,existing_loans,savings,property_area,dti_ratio,collateral_value,loan_purpose,dependents,loan_status
Michael Brown,65,Male,Married,Graduate,Business,70200.0,5850.0,40500.0,175000.0,120,640,1,77200.0,Semiurban,19.06,243300.0,Auto Loan,3,1
Joseph Hernandez,61,Male,Single,Graduate,Unemployed,52000.0,4333.33,0.0,10000.0,60,690,0,40500.0,Rural,5.0,10400.0,Home Loan,3,1
Linda Gonzalez,67,Male,Single,Graduate,Business,77500.0,6458.33,0.0,234000.0,60,693,0,11400.0,Urban,60.39,320200.0,Home Loan,0,1
Rahul Miller,34,Female,Married,Post Graduate,Salaried,39600.0,3300.0,5100.0,276000.0,240,696,1,43200.0,Semiurban,38.93,136400.0,Education Loan,0,0
Charles Miller,59,Male,Single,Graduate,Salaried,37700.0,3141.67,0.0,310000.0,60,582,2,700.0,Urban,85.0,344800.0,Home Loan,2,0
David Hernandez,45,Female,Married,Graduate,Self-Employed,48800.0,4066.67,94200.0,197000.0,48,781,4,22400.0,Urban,44.51,41700.0,Personal Loan,3,1
Ananya Jones,40,Female,Married,Graduate,Business,114400.0,9533.33,14800.0,10000.0,48,691,3,8600.0,Urban,10.29,14500.0,Business Loan,1,1
Patricia Davis,22,Male,Married,Graduate,Salaried,21900.0,1825.0,4600.0,175000.0,360,622,3,3600.0,Semiurban,62.77,54900.0,Personal Loan,1,0
Ananya Williams,59,Female,Married,Graduate,Salaried,93500.0,7791.67,8200.0,219000.0,180,640,2,64600.0,Rural,21.44,35600.0,Personal Loan,2,1
Priya Jones,26,Male,Married,Post Graduate,Business,40700.0,3391.67,8000.0,90000.0,120,702,1,6700.0,Urban,25.87,101800.0,Home Loan,0,1
Mary Davis,37,Female,Married,Graduate,Salaried,106800.0,8900.0,400.0,156000.0,60,568,0,51800.0,Semiurban,29.1,73300.0,Personal Loan,4,0
Barbara Wilson,45,Female,Married,Not Graduate,Salaried,92900.0,7741.67,2900.0,65000.0,60,750,1,16000.0,Semiurban,17.33,55000.0,Home Loan,0,1
Jennifer Johnson,48,Female,Single,Not Graduate,Self-Employed,39300.0,3275.0,0.0,125000.0,24,699,0,400.0,Urban,85.0,31200.0,Education Loan,1,0
Rahul Smith,22,Male,Married,Graduate,Salaried,73300.0,6108.33,2600.0,262000.0,60,805,2,39600.0,Rural,78.52,267900.0,Auto Loan,1,1
Barbara Martinez,55,Male,Married,Graduate,Salaried,27800.0,2316.67,5200.0,241000.0,240,686,1,27200.0,Urban,47.42,221000.0,Auto Loan,1,1
Priya Gonzalez,57,Male,Married,Graduate,Self-Employed,122000.0,10166.67,8600.0,54000.0,60,593,1,12700.0,Urban,11.03,11600.0,Personal Loan,2,1
Barbara Rodriguez,25,Male,Married,Graduate,Self-Employed,43300.0,3608.33,28400.0,117000.0,60,584,0,9900.0,Urban,32.64,191400.0,Home Loan,4,1
Thomas Hernandez,21,Male,Single,Not Graduate,Unemployed,47400.0,3950.0,0.0,185000.0,12,649,1,2300.0,Rural,85.0,274400.0,Home Loan,1,1
Elizabeth Verma,60,Male,Married,Graduate,Salaried,75100.0,6258.33,23400.0,200000.0,60,657,0,85100.0,Rural,40.61,256800.0,Home Loan,2,1
Jessica Sharma,32,Male,Married,Graduate,Salaried,97400.0,8116.67,16700.0,120000.0,12,635,0,20400.0,Urban,85.0,34100.0,Personal Loan,0,0
Joseph Wilson,56,Male,Married,Graduate,Self-Employed,32100.0,2675.0,23000.0,223000.0,120,690,0,2700.0,Urban,40.47,129600.0,Personal Loan,2,0
Charles Lopez,65,Female,Divorced,Post Graduate,Salaried,68700.0,5725.0,0.0,177000.0,120,633,0,60900.0,Semiurban,25.76,19000.0,Personal Loan,0,0
Amit Brown,43,Male,Married,Not Graduate,Salaried,42400.0,3533.33,53400.0,10000.0,360,700,1,9800.0,Semiurban,5.0,5500.0,Personal Loan,0,1
Carlos Williams,67,Male,Divorced,Not Graduate,Self-Employed,40700.0,3391.67,0.0,129000.0,120,638,1,6800.0,Semiurban,40.54,37100.0,Education Loan,0,0
Robert Williams,51,Male,Divorced,Not Graduate,Salaried,72700.0,6058.33,0.0,126000.0,60,731,2,9900.0,Rural,44.57,224500.0,Home Loan,1,1
Michael Jones,31,Male,Married,Graduate,Salaried,42000.0,3500.0,29500.0,241000.0,120,655,1,24900.0,Rural,38.74,420400.0,Auto Loan,4,1
William Miller,30,Female,Married,Not Graduate,Salaried,39100.0,3258.33,11400.0,243000.0,180,780,0,2300.0,Rural,32.08,235700.0,Home Loan,1,1
Sarah Brown,23,Male,Single,Graduate,Salaried,101300.0,8441.67,0.0,30000.0,24,732,4,19700.0,Semiurban,29.02,5600.0,Personal Loan,0,1
Carlos Lopez,34,Female,Married,Not Graduate,Salaried,24800.0,2066.67,12600.0,219000.0,180,695,1,67800.0,Urban,48.66,382300.0,Home Loan,0,1
Susan Johnson,36,Female,Married,Not Graduate,Salaried,70700.0,5891.67,41600.0,173000.0,360,663,1,6300.0,Semiurban,8.34,46400.0,Personal Loan,1,1
William Martinez,30,Female,Single,Graduate,Self-Employed,32900.0,2741.67,0.0,191000.0,48,558,1,12100.0,Urban,85.0,340500.0,Home Loan,0,0
Rahul Johnson,49,Female,Single,Not Graduate,Business,20700.0,1725.0,0.0,125000.0,180,793,2,15100.0,Urban,75.04,104500.0,Home Loan,0,0
Karen Lopez,30,Female,Divorced,Post Graduate,Salaried,28200.0,2350.0,0.0,174000.0,360,626,0,26500.0,Urban,20.57,254200.0,Business Loan,1,1
Joseph Lopez,32,Female,Married,Graduate,Salaried,62000.0,5166.67,45700.0,284000.0,120,687,0,75500.0,Semiurban,26.37,302800.0,Home Loan,3,1
Michael Lopez,50,Female,Married,Not Graduate,Salaried,75600.0,6300.0,26300.0,190000.0,240,708,2,15100.0,Semiurban,16.39,71200.0,Personal Loan,0,1
Linda Sharma,61,Female,Married,Graduate,Salaried,21000.0,1750.0,9100.0,176000.0,60,665,0,2100.0,Semiurban,85.0,100900.0,Personal Loan,0,1
John Wilson,21,Female,Single,Graduate,Self-Employed,21700.0,1808.33,0.0,137000.0,60,788,2,12800.0,Urban,85.0,14100.0,Personal Loan,2,0
Thomas Brown,25,Male,Single,Graduate,Self-Employed,124800.0,10400.0,0.0,275000.0,180,582,1,6300.0,Semiurban,17.57,403400.0,Auto Loan,2,1
Sarah Davis,40,Female,Single,Graduate,Self-Employed,23400.0,1950.0,0.0,65000.0,240,819,1,31600.0,Urban,29.27,16000.0,Personal Loan,2,1
Patricia Johnson,28,Male,Single,Post Graduate,Salaried,121100.0,10091.67,0.0,108000.0,360,734,2,900.0,Semiurban,8.92,128800.0,Home Loan,0,1
Jennifer Garcia,63,Male,Single,Post Graduate,Salaried,31700.0,2641.67,0.0,60000.0,48,660,0,10400.0,Urban,47.32,58900.0,Home Loan,0,1
